ID;i1;i2;i7;i14;i15;i16;i17;i18;i19;i20;i21;i25;i26;i27;i28;i29;i30;i31;i32;i33;i34;i35
1;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5
2;5;5;5;5;5;4;5;4;5;5;4;5;5;5;4;4;5;5;5;3;4;4
3;4;5;4;5;5;5;3;5;5;5;3;4;4;4;3;3;5;5;4;3;5;4
4;5;3;4;4;4;2;3;5;5;4;3;5;5;5;3;4;5;5;4;2;2;3
5;4;3;2;3;4;4;4;3;4;4;3;4;5;5;4;4;4;5;4;2;4;3
6;5;5;5;5;5;5;2;5;5;5;5;4;5;5;2;3;4;5;4;3;5;5
